wl,n
1.503,3.79773
1.504,3.79735
1.505,3.79696
1.506,3.79658
1.507,3.79619
1.508,3.79581
1.509,3.79543
1.510,3.79504
1.511,3.79466
1.512,3.79428
1.513,3.79390
1.514,3.79352
1.515,3.79314
1.516,3.79276
1.517,3.79239
1.518,3.79201
1.519,3.79163
1.520,3.79126
1.521,3.79088
1.522,3.79051
1.523,3.79014
1.524,3.78976
1.525,3.78939
1.526,3.78902
1.527,3.78865
1.528,3.78828
1.529,3.78791
1.530,3.78754
1.531,3.78717
1.532,3.78680
1.533,3.78643
1.534,3.78607
1.535,3.78570
1.536,3.78533
1.537,3.78497
1.538,3.78460
1.539,3.78424
1.540,3.78388
1.541,3.78351
1.542,3.78315
1.543,3.78278
1.544,3.78243
1.545,3.78207
1.546,3.78171
1.547,3.78135
1.548,3.78099
1.549,3.78063
1.550,3.78028
1.551,3.77992
1.552,3.77956
1.553,3.77921
1.554,3.77885
1.555,3.77850
1.556,3.77815
1.557,3.77779
1.558,3.77744
1.559,3.77709
1.560,3.77674
1.561,3.77639
1.562,3.77604
1.563,3.77569
1.564,3.77534
1.565,3.77499
1.566,3.77464
1.567,3.77429
1.568,3.77395
1.569,3.77360
1.570,3.77325
1.571,3.77291
1.572,3.77257
1.573,3.77222
1.574,3.77188
1.575,3.77153
1.576,3.77119
1.577,3.77085
1.578,3.77051
1.579,3.77017
1.580,3.76983
1.581,3.76949
1.582,3.76915
1.583,3.76881
1.584,3.76847
1.585,3.76814
1.586,3.76780
1.587,3.76746
1.588,3.76713
1.589,3.76679
1.590,3.76646
1.591,3.76612
1.592,3.76579
1.593,3.76546
1.594,3.76512
1.595,3.76479
1.596,3.76446
1.597,3.76413
1.598,3.76380
1.599,3.76347
1.600,3.76314
1.601,3.76281
1.602,3.76248
1.603,3.76215
1.604,3.76183
1.605,3.76150
1.606,3.76117
1.607,3.76085
1.608,3.76052
1.609,3.76020
1.610,3.75987
1.611,3.75955
1.612,3.75923
1.613,3.75890
1.614,3.75858
1.615,3.75826
1.616,3.75794
1.617,3.75762
1.618,3.75730
1.619,3.75697
1.620,3.75666
1.621,3.75634
1.622,3.75602
1.623,3.75570
1.624,3.75539
1.625,3.75507
1.626,3.75475
1.627,3.75444
1.628,3.75412
1.629,3.75381
1.630,3.75349
1.631,3.75318
1.632,3.75286
1.633,3.75255
1.634,3.75224
1.635,3.75193
1.636,3.75162
1.637,3.75130
1.638,3.75099
1.639,3.75068
1.640,3.75037
1.641,3.75007
1.642,3.74976
1.643,3.74945
1.644,3.74914
1.645,3.74883
1.646,3.74853
1.647,3.74822
1.648,3.74791
1.649,3.74761
1.650,3.74730
1.651,3.74700
1.652,3.74670
1.653,3.74639
1.654,3.74609
1.655,3.74579
1.656,3.74549
1.657,3.74518
1.658,3.74488
1.659,3.74458
1.660,3.74428
1.661,3.74398
1.662,3.74368
1.663,3.74338
1.664,3.74309
1.665,3.74279
1.666,3.74249
1.667,3.74219
1.668,3.74189
1.669,3.74160
1.670,3.74130
1.671,3.74101
1.672,3.74071
1.673,3.74042
1.674,3.74012
1.675,3.73983
1.676,3.73954
1.677,3.73924
1.678,3.73895
1.679,3.73866
1.680,3.73837
1.681,3.73808
1.682,3.73779
1.683,3.73750
1.684,3.73721
1.685,3.73692
1.686,3.73663
1.687,3.73634
1.688,3.73605
1.689,3.73576
1.690,3.73548
1.691,3.73519
1.692,3.73490
1.693,3.73462
1.694,3.73433
1.695,3.73405
1.696,3.73376
1.697,3.73348
1.698,3.73319
1.699,3.73291
1.700,3.73263
1.701,3.73234
1.702,3.73206
1.703,3.73178
1.704,3.73150
